GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
,,,,,,dopaminereplacementremediatesriskaversioninparkinsonsdiseaseinavalueindependentmanner,Dopamine replacement remediates risk aversion in Parkinson's disease in a value-independent manner,Dopamine replacement remediates risk aversion in Parkinson's disease in a value-independent manner,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell']"
,,,,,,invivopositronemissiontomographicevidenceforcompensatorychangesinpresynapticdopaminergicnerveterminalsinparkinsonsdisease,In vivo positron emission tomographic evidence for compensatory changes in presynaptic dopaminergic nerve terminals in Parkinson's disease,In vivo positron emission tomographic evidence for compensatory changes in presynaptic dopaminergic nerve terminals in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,dopamineactivatesnrf2regulatedneuroprotectivepathwaysinastrocytesandmeningealcells,Dopamine activates Nrf2‐regulated neuroprotective pathways in astrocytes and meningeal cells,Dopamine activates Nrf2-regulated neuroprotective pathways in astrocytes and meningeal cells,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,effectsofintermittentthetabursttranscranialmagneticstimulationoncognitionandhippocampalvolumesinbipolardepression,Effects of intermittent theta-burst transcranial magnetic stimulation on cognition and hippocampal volumes in bipolar depression,Effects of intermittent theta-burst transcranial magnetic stimulation on cognition and hippocampal volumes in bipolar depression,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
,,,,,,decisionsunderriskinparkinsonsdiseasepreservedevaluationofprobabilityandmagnitude,Decisions under risk in Parkinson’s disease: Preserved evaluation of probability and magnitude,Decisions under risk in Parkinson's disease: Preserved evaluation of probability and magnitude,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell']"
,,,,,,progressionofdopaminergicdysfunctioninalrrk2kindredamultitracerpetstudy,Progression of dopaminergic dysfunction in a LRRK2 kindred: a multitracer PET study,Progression of dopaminergic dysfunction in a LRRK2 kindred: A multitracer PET study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,morphinewithdrawalinducedhyperalgesiainmodelsofacuteandextendedwithdrawalisattenuatedbyltetrahydropalmatine,Morphine Withdrawal-Induced Hyperalgesia in Models of Acute and Extended Withdrawal Is Attenuated by l-Tetrahydropalmatine,Morphine Withdrawal-Induced Hyperalgesia in Models of Acute and Extended Withdrawal Is Attenuated by l-Tetrahydropalmatine,"['Anthony Phillips', 'Snutch']","['Anthony G. Phillips', 'Terrance P. Snutch']"
,,,,,,longitudinalprogressionofsporadicparkinsonsdiseaseamultitracerpositronemissiontomographystudy,Longitudinal progression of sporadic Parkinson's disease: a multi-tracer positron emission tomography study,Longitudinal progression of sporadic Parkinson's disease: A multi-tracer positron emission tomography study,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,asmallmoleculeinduciblenrf2mediatedantioxidantresponseprovideseffectiveprophylaxisagainstcerebralischemiainvivo,A small-molecule-inducible Nrf2-mediated antioxidant response provides effective prophylaxis against cerebral ischemia in vivo,A small-molecule-inducible Nrf2-mediated antioxidant response provides effective prophylaxis against cerebral ischemia in vivo,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,eegsourceextractionbyautoregressivesourceseparationrevealsabnormalsynchronizationinparkinsonsdisease,EEG source extraction by autoregressive source separation reveals abnormal synchronization in Parkinson's disease,EEG source extraction by autoregressive source separation reveals abnormal synchronization in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,ca2transientsinastrocytefineprocessesoccurviaca2influxintheadultmousehippocampus,Ca2+ transients in astrocyte fine processes occur via Ca2+ influx in the adult mouse hippocampus,Ca<sup>2+</sup> transients in astrocyte fine processes occur via Ca<sup>2+</sup> influx in the adult mouse hippocampus,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian A. MacVicar', 'Jeffrey M. LeDue']"
,,,,,,optogeneticmappingafterstrokerevealsnetworkwidescalingoffunctionalconnectionsandheterogeneousrecoveryoftheperiinfarct,Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct,Optogenetic mapping after stroke reveals network-wide scaling of functional connections and heterogeneous recovery of the peri-infarct,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
,,,,,,thecanadianrarediseasesmodelsandmechanismsrdmmnetworkconnectingunderstudiedgenestomodelorganisms,The Canadian rare diseases models and mechanisms (RDMM) network: connecting understudied genes to model organisms,The Canadian Rare Diseases Models and Mechanisms (RDMM) Network: Connecting Understudied Genes to Model Organisms,"['Paul Pavlidis', 'Rankin Catharine H']","['Paul Pavlidis', 'Catharine Rankin']"
,,,,,,changesinagonistconcentrationdependencethatareafunctionofdurationofexposuresuggestnmethyldaspartatereceptornonsaturationduringsynapticstimulation,Changes in Agonist Concentration Dependence That Are a Function of Duration of Exposure SuggestN-Methyl-D-aspartate Receptor Nonsaturation during Synaptic Stimulation,Changes in agonist concentration dependence that are a function of duration of exposure suggest N-methyl-D-aspartate receptor nonsaturation during synaptic stimulation,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,relatinghistopathologyandmechanicalstraininexperimentalcontusionspinalcordinjuryinaratmodel,Relating histopathology and mechanical strain in experimental contusion spinal cord injury in a rat model,Relating histopathology and mechanical strain in experimental contusion spinal cord injury in a rat model,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
,,,,,,electroconvulsiveshockbutnottranscranialmagneticstimulationtransientlyelevatescellproliferationintheadultmousehippocampus,"Electroconvulsive shock, but not transcranial magnetic stimulation, transiently elevates cell proliferation in the adult mouse Hippocampus","Electroconvulsive shock, but not transcranial magnetic stimulation, transiently elevates cell proliferation in the adult mouse hippocampus","['Fidel Vila-Rodriguez', 'Jason S. Snyder']","['Fidel Vila-Rodriguez', 'Jason S. Snyder']"
,,,,,,heantos4anaturalplantextractusedinthetreatmentofdrugaddictionmodulatesttypecalciumchannelsandthalamocorticalburstfiring,"Heantos-4, a natural plant extract used in the treatment of drug addiction, modulates T-type calcium channels and thalamocortical burst-firing","Heantos-4, a natural plant extract used in the treatment of drug addiction, modulates T-type calcium channels and thalamocortical burst-firing","['Anthony Phillips', 'Snutch']","['Anthony G. Phillips', 'Terrance P. Snutch']"
,,,,,,individualizedtrackingofselfdirectedmotorlearningingrouphousedmiceperformingaskilledleverpositioningtaskinthehomecage,Individualized tracking of self-directed motor learning in group-housed mice performing a skilled lever positioning task in the home cage,Individualized tracking of self-directed motor learning in group-housed mice performing a skilled lever positioning task in the home cage,"['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
,,,,,,connectivitybasedparcellationofputamenusingrestingstatefmridata,Connectivity-based parcellation of putamen using resting state fMRI data,Connectivity-based parcellation of putamen using resting state fMRI data,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,interventionalimagingultrasound,Interventional imaging: Ultrasound,Interventional imaging: Ultrasound,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
,,,,,,mesoscaleinfraslowspontaneousmembranepotentialfluctuationsrecapitulatehighfrequencyactivitycorticalmotifs,Mesoscale infraslow spontaneous membrane potential fluctuations recapitulate high-frequency activity cortical motifs,Mesoscale infraslow spontaneous membrane potential fluctuations recapitulate high-frequency activity cortical motifs,"['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']","['Timothy H. Murphy', 'YuTian Wang', 'Jeffrey M. LeDue']"
,,,,,,hyperexcitablesuperiorcolliculusandfatalbrainstemspreadingdepolarizationinamodelofsuddenunexpecteddeathinepilepsy,Hyperexcitable superior colliculus and fatal brainstem spreading depolarization in a model of sudden unexpected death in epilepsy,Hyperexcitable superior colliculus and fatal brainstem spreading depolarization in a model of Sudden Unexpected Death in Epilepsy,"['Brian MacVicar', 'Snutch']","['Brian A. MacVicar', 'Terrance P. Snutch']"
,,,,,,invivodopaminergicandserotonergicdysfunctionindctn1genemutationcarriers,In vivo dopaminergic and serotonergic dysfunction in DCTN1 gene mutation carriers,In vivo dopaminergic and serotonergic dysfunction in DCTN1 gene mutation carriers,"['A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']","['A. Jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
,,,,,,anovelsegmentationmutualinformationnetworkframeworkforeeganalysisofmotortasks,"A novel segmentation, mutual information network framework for EEG analysis of motor tasks","A novel segmentation, mutual information network framework for EEG analysis of motor tasks","['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,antidepressanteffectsofketamineandtherolesofampaglutamatereceptorsandothermechanismsbeyondnmdareceptorantagonism,Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism,Antidepressant effects of ketamine and the roles of AMPA glutamate receptors and other mechanisms beyond NMDA receptor antagonism,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
,,,,,,nmdaglun2aandglun2breceptorsplayseparaterolesintheinductionofltpandltdintheamygdalaandintheacquisitionandextinctionofconditionedfear,NMDA GluN2A and GluN2B receptors play separate roles in the induction of LTP and LTD in the amygdala and in the acquisition and extinction of conditioned fear,NMDA GluN2A and GluN2B receptors play separate roles in the induction of LTP and LTD in the amygdala and in the acquisition and extinction of conditioned fear,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
,,,,,,levodopainducedchangesinsynapticdopaminelevelsincreasewithprogressionofparkinsonsdiseaseimplicationsfordyskinesias,Levodopa-induced changes in synaptic dopamine levels increase with progression of Parkinson's disease: implications for dyskinesias,Levodopa-induced changes in synaptic dopamine levels increase with progression of Parkinson's disease: Implications for dyskinesias,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,altereddirectionalconnectivityinparkinsonsdiseaseduringperformanceofavisuallyguidedtask,Altered directional connectivity in Parkinson's disease during performance of a visually guided task,Altered directional connectivity in Parkinson's disease during performance of a visually guided task,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,differentialeffectsoflidocaineinfusionsintotheventralca1subiculumorthenucleusaccumbensontheacquisitionandretentionofspatialinformation,Differential effects of lidocaine infusions into the ventral CA1/subiculum or the nucleus accumbens on the acquisition and retention of spatial information,Differential effects of lidocaine infusions into the ventral CA1/subiculum or the nucleus accumbens on the acquisition and retention of spatial information,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,competitionbetweenphasicandasynchronousreleaseforrecoveredsynapticvesiclesatdevelopinghippocampalautapticsynapses,Competition between phasic and asynchronous release for recovered synaptic vesicles at developing hippocampal autaptic synapses,Competition between Phasic and Asynchronous Release for Recovered Synaptic Vesicles at Developing Hippocampal Autaptic Synapses,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,chronicmultiscaleresolutionofmousebrainnetworksusingcombinedmesoscalecorticalimagingandsubcorticalfiberphotometry,Chronic multiscale resolution of mouse brain networks using combined mesoscale cortical imaging and subcortical fiber photometry,Chronic multiscale resolution of mouse brain networks using combined mesoscale cortical imaging and subcortical fiber photometry,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,multiparametricanalysisof57syngap1variantsrevealimpactsongtpasesignalinglocalizationandproteinstability,"Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability","Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability","['Paul Pavlidis', 'Kurt Haas']","['Paul Pavlidis', 'Kurt Haas']"
,,,,,,peripherallyderivedolfactoryensheathingcellsdonotpromoteprimaryafferentregenerationfollowingdorsalrootinjury,Peripherally–derived olfactory ensheathing cells do not promote primary afferent regeneration following dorsal root injury,Peripherally-derived olfactory ensheathing cells do not promote primary afferent regeneration following dorsal root injury,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
,,,,,,hippocampallongtermdepressionmediatesacutestressinducedspatialmemoryretrievalimpairment,Hippocampal long-term depression mediates acute stress-induced spatial memory retrieval impairment,Hippocampal long-term depression mediates acute stress-induced spatial memory retrieval impairment,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
,,,,,,advancesinimaginginparkinsonsdisease,Advances in imaging in Parkinson's disease,Advances in imaging in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,bayesiannetworkmodelingfordiscoveringdirectedsynergiesamongmusclesinreachingmovements,Bayesian Network Modeling For Discovering' Directed Synergies' Among Muscles in Reaching Movements,"Bayesian network modeling for discovering ""directed synergies"" among muscles in reaching movements","['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,realtimeimagingofglutamateclearancerevealsnormalstriataluptakeinhuntingtondiseasemousemodels,Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,Real-time imaging of glutamate clearance reveals normal striatal uptake in Huntington disease mouse models,"['Tim H. Murphy', 'Lynn A Raymond']","['Timothy H. Murphy', 'Lynn A. Raymond']"
,,,,,,theeffectoflrrk2mutationsonthecholinergicsysteminmanifestandpremanifeststagesofparkinsonsdiseaseacrosssectionalpetstudy,The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study,The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,locallineardiscriminantanalysislldaforinferenceofmultisubjectfmridata,Local Linear Discriminant Analysis (LLDA) For Inference Of Multisubject fMRI Data,Local linear discriminant analysis (LLDA) for inference of multisubject FMRI data,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,biochemicalvariationsinthesynapticlevelofdopamineprecedemotorfluctuationsinparkinsonsdiseasepetevidenceofincreaseddopamineturnover,Biochemical variations in the synaptic level of dopamine precede motor fluctuations in Parkinson's disease: PET evidence of increased dopamine turnover,Biochemical variations in the synaptic level of dopamine precede motor fluctuations in Parkinson's disease: PET evidence of increased dopamine turnover,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,aheartbeatratedetectionframeworkusingmultiplenanofibersensorsignals,A heart beat rate detection framework using multiple nanofiber sensor signals,A heart beat rate detection framework using multiple nanofiber sensor signals,"['Martin J. McKeown', 'Z. Jane Wang', 'Peyman Servati']","['Martin McKeown', 'Peyman Servati']"
,,,,,,visualizingvesiculardopaminedynamicsinparkinsonsdisease,Visualizing vesicular dopamine dynamics in Parkinson's disease,Visualizing vesicular dopamine dynamics in Parkinson's disease,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,radiographyusedtomeasureinternalspinalcorddeformationinaninvivoratmodel,Radiography used to measure internal spinal cord deformation in an in vivo rat model,Radiography used to measure internal spinal cord deformation in an in vivo rat model,"['Peter Cripton', 'Wolfram Tetzlaff']","['P. A. Cripton', 'Wolfram G. Tetzlaff']"
,,,,,,activationoftheventralsubiculumreinvigoratesbehaviorafterfailuretoachieveagoalimplicationsfordopaminergicmodulationofmotivationalprocesses,Activation of the ventral subiculum reinvigorates behavior after failure to achieve a goal: Implications for dopaminergic modulation of motivational processes,Activation of the ventral subiculum reinvigorates behavior after failure to achieve a goal: Implications for dopaminergic modulation of motivational processes,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,hiddenmarkovmultivariateautoregressivehmmmarmodelingframeworkforsurfaceelectromyographysemgdata,Hidden Markov multivariate autoregressive (HMM-mAR) modeling framework for surface electromyography (sEMG) data,Hidden Markov multivariate autoregressive (HMM-mAR) modeling framework for surface electromyography (sEMG) data,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,petstudiesofparkinsonismassociatedwithmutationintheαsynucleingene,PET studies of parkinsonism associated with mutation in the α-synuclein gene,Pet studies of parkinsonism associated with mutation in the α-synuclein gene,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,adultspinalcordradialgliadisplayauniqueprogenitorphenotype,Adult spinal cord radial glia display a unique progenitor phenotype,Adult spinal cord radial glia display a unique progenitor phenotype,"['Wolfram Tetzlaff', 'A. Jane Roskams']","['Wolfram G. Tetzlaff', 'Angela Jane I. Roskams']"
,,,,,,atlasguidedparcellationindividualizedfunctionallyhomogenousparcellationincerebralcortex,Atlas-guided parcellation: Individualized functionally-homogenous parcellation in cerebral cortex,Atlas-guided parcellation: Individualized functionally-homogenous parcellation in cerebral cortex,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,icadenoisingforeventrelatedfmristudies,ICA denoising for event-related fMRI studies,ICA denoising for event-related fMRI studies,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,datadrivenvoxelbasedanalysisofbrainpetimagesapplicationofpcaandlassomethodstovisualizeandquantifypatternsofneurodegeneration,"Data-driven, voxel-based analysis of brain PET images: Application of PCA and LASSO methods to visualize and quantify patterns of neurodegeneration","Data-driven, voxel-based analysis of brain PET images: Application of PCA and LASSO methods to visualize and quantify patterns of neurodegeneration","['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,multiblockplsmodelforgroupcorticomuscularactivityanalysisinparkinsondisease,Multiblock PLS model for group corticomuscular activity analysis in Parkinson disease,Multiblock PLS model for group corticomuscular activity analysis in Parkinson disease,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,thexlinkedintellectualdisabilitygenezdhhc9isessentialfordendriteoutgrowthandinhibitorysynapseformation,The X-linked intellectual disability gene Zdhhc9 is essential for dendrite outgrowth and inhibitory synapse formation,The X-Linked Intellectual Disability Gene Zdhhc9 Is Essential for Dendrite Outgrowth and Inhibitory Synapse Formation,"['Shernaz Bamji', 'Snutch']","['Shernaz X. Bamji', 'Terrance P. Snutch']"
,,,,,,improvedmethodsforchroniclightbasedmotormappinginmiceautomatedmovementtrackingwithaccelerometersandchroniceegrecordinginabilateralthinskullpreparation,"Improved methods for chronic light-based motor mapping in mice: automated movement tracking with accelerometers, and chronic EEG recording in a bilateral thin-skull preparation","Improved methods for chronic light-based motor mapping in mice: Automated movement tracking with accelerometers, and chronic EEG recording in a bilateral thin-skull preparation","['Tim H. Murphy', 'Jeffrey LeDue']","['Timothy H. Murphy', 'Jeffrey M. LeDue']"
,,,,,,imagingoftheparkinsonianbraininrelationtorestorativetherapy,Imaging of the Parkinsonian Brain in Relation to Restorative Therapy,Imaging of the parkinsonian brain in relation to restorative therapy,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,coordinateregulationofglutathionebiosynthesisandreleasebynrf2expressinggliapotentlyprotectsneuronsfromoxidativestress,Coordinate regulation of glutathione biosynthesis and release by Nrf2-expressing glia potently protects neurons from oxidative stress,Coordinate regulation of glutathione biosynthesis and release by Nrf2-expressing glia potently protects neurons from oxidative stress,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,behavioraldeficitsandstriataldasignalinginlrrk2pg2019stransgenicratsamultimodalinvestigationincludingpetneuroimaging,Behavioral deficits and striatal DA signaling in LRRK2 p. G2019S transgenic rats: a multimodal investigation including PET neuroimaging,Behavioral deficits and striatal DA signaling in LRRK2 p.G2019S transgenic rats: a multimodal investigation including PET neuroimaging,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,patranlearningtoestimate3dhandposewithpartialannotation,PA-Tran: Learning to Estimate 3D Hand Pose with Partial Annotation,PA-Tran: Learning to Estimate 3D Hand Pose with Partial Annotation,"['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,measurementsofdopaminergicfunctionintheratbrainusing18ffdopapetandmicrodialysis,Measurements of Dopaminergic Function in the Rat Brain Using [18F] FDOPA PET and Microdialysis,Measurements of Dopaminergic Function in the Rat Brain Using [<sup>18</sup>F]FDOPA PET and Microdialysis,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,livinontheedgeimagingdendriticspineturnoverintheperiinfarctzoneduringischemicstrokeandrecovery,Livin'on the edge: imaging dendritic spine turnover in the peri-infarct zone during ischemic stroke and recovery,Livin' on the edge: Imaging dendritic spine turnover in the peri-infarct zone during ischemic stroke and recovery,"['Tim H. Murphy', 'Craig E. Brown']","['Timothy H. Murphy', 'Craig E. Brown']"
,,,,,,ahiddenmarkovmultivariateautoregressivehmmmarnetworkframeworkforanalysisofsurfaceemgsemgdata,"A hidden Markov, multivariate autoregressive (HMM-mAR) network framework for analysis of surface EMG (sEMG) data","A hidden Markov, multivariate autoregressive (HMM-mAR) network framework for analysis of surface EMG (sEMG) data","['Martin J. McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
,,,,,,statisticalshapemodelto3dultrasoundregistrationforspineinterventionsusingenhancedlocalphasefeatures,Statistical shape model to 3D ultrasound registration for spine interventions using enhanced local phase features,Statistical shape model to 3D ultrasound registration for spine interventions using enhanced local phase features,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
,,,,,,analysisoffourdopaminergictracerskineticsusingtwodifferenttissueinputfunctionmethods,Analysis of four dopaminergic tracers kinetics using two different tissue input function methods,Analysis of four dopaminergic tracers kinetics using two different tissue input function methods,"['A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']","['A. Jon Stoessl', 'Vesna Sossi']"
,,,,,,pannexin1regulatesnetworkensemblesanddendriticspinedevelopmentincorticalneurons,Pannexin 1 regulates network ensembles and dendritic spine development in cortical neurons,Pannexin 1 regulates network ensembles and dendritic spine development in cortical neurons,"['Leigh Anne Swayne', 'Craig E. Brown']","['Leigh Anne Swayne', 'Craig E. Brown']"
,,,,,,longitudinalinvivoimagingrevealsbalancedandbranchspecificremodelingofmaturecorticalpyramidaldendriticarborsafterstroke,Longitudinal in vivo Imaging Reveals Balanced and Branch-Specific Remodeling of Mature Cortical Pyramidal Dendritic Arbors after Stroke,Longitudinal in vivo imaging reveals balanced and branch-specific remodeling of mature cortical pyramidal dendritic arbors after stroke,"['Tim H. Murphy', 'Craig E. Brown']","['Timothy H. Murphy', 'Craig E. Brown']"
,,,,,,selectivememoryimpairmentsproducedbytransientlidocaineinducedlesionsofthenucleusaccumbensinrats,Selective memory impairments produced by transient lidocaine-induced lesions of the nucleus accumbens in rats.,Selective memory impairments produced by transient lidocaine-induced lesions of the nucleus accumbens in rats,"['Anthony Phillips', 'Jeremy K Seamans']","['Anthony G. Phillips', 'Jeremy Keith Seamans']"
,,,,,,amultivertebraecttousregistrationofthelumbarspineinclinicaldata,A multi-vertebrae CT to US registration of the lumbar spine in clinical data,A multi-vertebrae CT to US registration of the lumbar spine in clinical data,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
,,,,,,evaluationofthewistarkyotoratmodelofdepressionandtheroleofsynapticplasticityindepressionandantidepressantresponse,Evaluation of the Wistar-Kyoto rat model of depression and the role of synaptic plasticity in depression and antidepressant response,Evaluation of the Wistar-Kyoto rat model of depression and the role of synaptic plasticity in depression and antidepressant response,"['Anthony Phillips', 'Yu Tian Wang']","['Anthony G. Phillips', 'YuTian Wang']"
,,,,,,nfe2relatedfactor2mediatesneuroprotectionagainstmitochondrialcomplexiinhibitorsandincreasedconcentrationsofintracellularcalciuminprimarycorticalneurons,NF-E2-related factor-2 mediates neuroprotection against mitochondrial complex I inhibitors and increased concentrations of intracellular calcium in primary cortical neurons,NF-E2-related factor-2 mediates neuroprotection against mitochondrial complex I inhibitors and increased concentrations of intracellular calcium in primary cortical neurons,"['Tim H. Murphy', 'Andy Y. Shih']","['Timothy H. Murphy', 'Andy Y. Shih']"
,,,,,,dopaminereleaseinhumanventralstriatumandexpectationofreward,Dopamine release in human ventral striatum and expectation of reward,Dopamine release in human ventral striatum and expectation of reward,"['A Jon Stoessl OR jon Stoessl', 'Anthony Phillips', 'Vesna Sossi']","['A. Jon Stoessl', 'Anthony G. Phillips', 'Vesna Sossi']"
,,,,,,habitualexercisersversussedentarysubjectswithparkinsonsdiseasemultimodalpetandfmristudy,Habitual exercisers versus sedentary subjects with Parkinson's Disease: Multimodal PET and fMRI study,Habitual exercisers versus sedentary subjects with Parkinson's Disease: Multimodal PET and fMRI study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']","['Martin McKeown', 'A. Jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
